name,strategy_name,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,avg_win_loss_ratio,wfo_windows,wfo_total_trades,wfo_mean_sharpe,wfo_total_return_pct,passes_gates,failure_reasons
mtf-0001,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0002,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0003,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0004,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0005,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0006,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0007,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0008,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0009,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0010,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0011,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0012,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0013,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
mtf-0014,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,False,"wfo_trades,wfo_sharpe"
