From github.com:Trujillofa/crypto-trading-agent
 * branch            main       -> FETCH_HEAD
   5555076..203679b  main       -> origin/main
Updating 5555076..203679b
Fast-forward
 scripts/autoresearch.py | 548 ++++++++++++++++++++++++++++++++++++++++++++++++
 1 file changed, 548 insertions(+)
 create mode 100644 scripts/autoresearch.py

=========================================================================================================
  PHASE 1: Individual Strategy Profiling — SOLUSDT 4h (2024-01-01 to 2024-12-31)
=========================================================================================================
Config                                        |    # |   W/  L |  Win%  |  Return% |  MDD%  | Sharpe |    PF
Breakout [L,TF,Fix]                           |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Breakout [L,noTF,ATR]                         |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Breakout [L,noTF,Fix]                         |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Breakout [S,TF,ATR]                           |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Breakout [S,TF,Fix]                           |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Breakout [S,noTF,ATR]                         |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Breakout [S,noTF,Fix]                         |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Pullback [L,TF,ATR]                           |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Pullback [L,TF,Fix]                           |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Pullback [L,noTF,ATR]                         |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Pullback [L,noTF,Fix]                         |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Pullback [S,TF,ATR]                           |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Pullback [S,TF,Fix]                           |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Pullback [S,noTF,ATR]                         |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Pullback [S,noTF,Fix]                         |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
Momentum [L,TF,ATR]                           |   88 |  43/ 45 |  48.9% |   -59.73% |  70.2% |  -2.20 |  0.61
Momentum [L,TF,Fix]                           |  113 |  30/ 83 |  26.5% |   -40.33% |  50.0% |  -1.49 |  0.76
Momentum [L,noTF,ATR]                         |  108 |  48/ 60 |  44.4% |   -63.79% |  73.5% |  -2.09 |  0.64
Momentum [L,noTF,Fix]                         |  148 |  39/109 |  26.4% |   -49.18% |  57.4% |  -1.72 |  0.77
Momentum [S,TF,ATR]                           |  227 |  84/143 |  37.0% |   -71.71% |  75.0% |  -2.19 |  0.71
Momentum [S,TF,Fix]                           |  257 |  71/186 |  27.6% |   -64.39% |  64.4% |  -1.97 |  0.77
Momentum [S,noTF,ATR]                         |  241 |  86/155 |  35.7% |   -76.91% |  79.8% |  -2.37 |  0.69
Momentum [S,noTF,Fix]                         |  289 |  77/212 |  26.6% |   -73.07% |  73.1% |  -2.43 |  0.75
MeanRev [L,TF,ATR]                            |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
MeanRev [L,TF,Fix]                            |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
MeanRev [L,noTF,ATR]                          |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
MeanRev [L,noTF,Fix]                          |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
MeanRev [S,TF,ATR]                            |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
MeanRev [S,TF,Fix]                            |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
MeanRev [S,noTF,ATR]                          |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00
MeanRev [S,noTF,Fix]                          |    0 |   0/  0 |   0.0% |    +0.00% |   0.0% |  +0.00 |  0.00

=========================================================================================================
