name,strategy_name,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,avg_win_loss_ratio,wfo_windows,wfo_total_trades,wfo_mean_sharpe,wfo_total_return_pct,passes_gates,failure_reasons
mtf-0001,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,3,33.33333333333333,-3.916064650784374,4.339341113136979,-0.9451108541531591,-1.065827691202105,0.1246363562081462,0.2492727124162924,3,2,-1.7171601542360502,-4.464755534803966,True,
mtf-0002,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,9,33.33333333333333,-4.030434256212684,12.057497973017323,-0.2692601104290571,-0.40665677490330643,0.6978174655133689,1.3956349310267377,3,6,-2.1384094911849303,-6.719349808709774,True,
mtf-0003,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,5,20.0,-8.859647104806536,9.261145711320058,-1.6134518979776857,-1.7372995342615114,0.05633367071372273,0.22533468285489092,3,4,-3.043953641161101,-9.380107477481392,True,
mtf-0004,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,11,27.27272727272727,-8.968132317879208,16.582198261398556,-0.6286824039460444,-0.9106232374149895,0.5024943304978029,1.3399848813274744,3,8,-2.6888667628808265,-11.518701374707064,True,
mtf-0005,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,3,33.33333333333333,-3.916064650784374,4.339341113136979,-0.9451108541531591,-1.065827691202105,0.1246363562081462,0.2492727124162924,3,2,-1.7171601542360502,-4.464755534803966,True,
mtf-0006,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,9,33.33333333333333,-4.030434256212684,12.057497973017323,-0.2692601104290571,-0.40665677490330643,0.6978174655133689,1.3956349310267377,3,6,-2.1384094911849303,-6.719349808709774,True,
mtf-0007,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,5,20.0,-8.859647104806536,9.261145711320058,-1.6134518979776857,-1.7372995342615114,0.05633367071372273,0.22533468285489092,3,4,-3.043953641161101,-9.380107477481392,True,
mtf-0008,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,11,27.27272727272727,-8.968132317879208,16.582198261398556,-0.6286824039460444,-0.9106232374149895,0.5024943304978029,1.3399848813274744,3,8,-2.6888667628808265,-11.518701374707064,True,
mtf-0009,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,3,33.33333333333333,-3.916064650784374,4.339341113136979,-0.9451108541531591,-1.065827691202105,0.1246363562081462,0.2492727124162924,3,2,-1.7171601542360502,-4.464755534803966,True,
mtf-0010,multi_timeframe_regime,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,9,33.33333333333333,-4.030434256212684,12.057497973017323,-0.2692601104290571,-0.40665677490330643,0.6978174655133689,1.3956349310267377,3,6,-2.1384094911849303,-6.719349808709774,True,
