time,symbol,timeframe,open_price,high_price,low_price,close_price,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
2021-01-01T05:00:00+00:00,BTCUSDT,1h,29220.31,29235.28,29084.11,29187.01,1469.956262,1609480799999,42864538.70435811,41800,679.846742,19827190.29247262
2021-01-01T06:00:00+00:00,BTCUSDT,1h,29187.01,29270.0,29077.32,29174.35,1420.726291,1609484399999,41446013.01819005,46400,699.142676,20398322.75992173
2021-01-01T07:00:00+00:00,BTCUSDT,1h,29174.35,29191.98,28806.54,29092.83,2380.180918,1609487999999,69034619.0948994,53158,1054.720991,30598457.40248306
2021-01-01T08:00:00+00:00,BTCUSDT,1h,29092.84,29178.03,28872.24,29000.01,2008.165739,1609491599999,58274190.69862189,55012,1022.06617,29662447.72598589
2021-01-01T09:00:00+00:00,BTCUSDT,1h,29000.01,29307.73,28970.0,29202.21,2022.056022,1609495199999,59006512.260986,43674,1208.477578,35272717.35224266
2021-01-01T10:00:00+00:00,BTCUSDT,1h,29202.21,29344.97,29152.88,29223.82,1944.255841,1609498799999,56881923.87605724,46783,1014.538319,29683027.81899852
2021-01-01T11:00:00+00:00,BTCUSDT,1h,29223.82,29402.57,29212.44,29313.49,2309.227717,1609502399999,67680909.41227815,49883,1309.012816,38371497.60008983
2021-01-01T12:00:00+00:00,BTCUSDT,1h,29313.49,29600.0,29150.0,29233.49,4191.915161,1609505999999,123253838.2361711,82845,2333.306753,68649197.19260734
2021-01-01T13:00:00+00:00,BTCUSDT,1h,29233.49,29470.0,29200.0,29464.79,2211.29829,1609509599999,64952612.17843147,51420,1102.4041,32385604.78507834
2021-01-01T14:00:00+00:00,BTCUSDT,1h,29464.79,29530.0,29266.15,29327.84,2612.67217,1609513199999,76824362.53364532,63341,1251.808709,36813212.09859227
2021-01-01T15:00:00+00:00,BTCUSDT,1h,29327.83,29391.0,29030.14,29188.67,2779.063894,1609516799999,81232002.48765679,71966,1262.580153,36922103.1313425
2021-01-01T16:00:00+00:00,BTCUSDT,1h,29188.67,29360.0,29125.0,29300.57,1490.329484,1609520399999,43610391.87454118,41586,774.312477,22657543.68634492
2021-01-01T17:00:00+00:00,BTCUSDT,1h,29300.79,29339.76,28937.0,29079.64,2504.977099,1609523999999,73023440.33533108,58010,1019.118051,29715488.816127
2021-01-01T18:00:00+00:00,BTCUSDT,1h,29077.59,29259.98,28624.57,29072.7,4226.430041,1609527599999,122480565.74309263,88856,1801.542032,52236804.4235885
2021-01-01T19:00:00+00:00,BTCUSDT,1h,29072.7,29125.32,28950.0,29029.04,1629.228721,1609531199999,47324728.28361069,49038,752.045015,21847593.00496335
2021-01-01T20:00:00+00:00,BTCUSDT,1h,29029.04,29279.72,28880.37,29200.96,1838.549082,1609534799999,53590098.13888548,52949,960.228963,27992651.84744214
2021-01-01T21:00:00+00:00,BTCUSDT,1h,29200.97,29289.82,29130.0,29160.39,1447.229641,1609538399999,42285361.51600605,34181,776.324093,22684651.47220357
2021-01-01T22:00:00+00:00,BTCUSDT,1h,29163.17,29326.74,29104.57,29262.32,1127.035897,1609541999999,32972283.53778708,37533,552.485855,16165226.57121833
2021-01-01T23:00:00+00:00,BTCUSDT,1h,29262.32,29338.89,29228.14,29331.69,971.123385,1609545599999,28443882.37070015,28620,523.747287,15341792.07335345
2021-01-02T00:00:00+00:00,BTCUSDT,1h,29331.7,29338.59,28946.53,29197.48,2638.159379,1609549199999,76856531.55900288,56787,1247.246187,36330827.26651437
2021-01-02T01:00:00+00:00,BTCUSDT,1h,29197.93,29400.0,29100.0,29359.47,1891.997249,1609552799999,55385402.78970417,41136,960.492001,28127469.61077394
2021-01-02T02:00:00+00:00,BTCUSDT,1h,29359.46,29469.0,29320.01,29323.82,1704.830137,1609556399999,50111457.7532265,34864,919.102507,27018817.34672662
2021-01-02T03:00:00+00:00,BTCUSDT,1h,29323.82,29382.49,29256.85,29351.95,1158.041761,1609559999999,33963115.16512242,33338,563.832243,16536321.44525508
2021-01-02T04:00:00+00:00,BTCUSDT,1h,29351.95,29396.0,29220.0,29349.63,988.71107,1609563599999,28985783.95102539,36593,513.998514,15069817.6323866
2021-01-02T05:00:00+00:00,BTCUSDT,1h,29349.63,29590.0,29349.63,29589.99,2778.878231,1609567199999,81957934.92152147,48203,1889.250154,55722199.46021065
2021-01-02T06:00:00+00:00,BTCUSDT,1h,29589.99,29745.0,29450.0,29709.07,3030.24082,1609570799999,89791157.01909067,61113,1919.617281,56884432.27238282
2021-01-02T07:00:00+00:00,BTCUSDT,1h,29709.06,29820.5,29623.31,29750.0,3067.812724,1609574399999,91222945.57779764,56853,1999.917145,59479642.41147299
2021-01-02T08:00:00+00:00,BTCUSDT,1h,29751.47,29849.11,29640.0,29844.51,2358.088241,1609577999999,70213292.48882388,55194,1185.87901,35308597.74347598
2021-01-02T09:00:00+00:00,BTCUSDT,1h,29844.52,29899.0,29578.05,29612.87,3188.497375,1609581599999,94891130.35379542,63645,1490.103384,44368671.01529736
2021-01-02T10:00:00+00:00,BTCUSDT,1h,29612.88,29829.0,29473.91,29680.99,2315.182337,1609585199999,68694488.75869353,49466,1119.018042,33209227.51330484
2021-01-02T11:00:00+00:00,BTCUSDT,1h,29679.51,29780.53,29622.79,29755.0,1365.036655,1609588799999,40570945.42355006,29571,598.188926,17778425.81689583
2021-01-02T12:00:00+00:00,BTCUSDT,1h,29754.99,30888.0,29741.39,30604.03,12772.566044,1609592399999,387025691.6845648,200036,7693.613089,232831158.1932206
2021-01-02T13:00:00+00:00,BTCUSDT,1h,30604.03,31561.87,30521.0,31541.17,9182.429703,1609595999999,284862696.670611,155703,5000.512481,155171075.80361158
2021-01-02T14:00:00+00:00,BTCUSDT,1h,31546.06,31567.89,31065.0,31290.53,6447.783897,1609599599999,201609364.53663465,115280,3104.826958,97083027.72110683
2021-01-02T15:00:00+00:00,BTCUSDT,1h,31290.53,31800.0,31236.37,31691.29,5626.193755,1609603199999,177435149.22325534,97954,2936.490973,92602951.9408685
2021-01-02T16:00:00+00:00,BTCUSDT,1h,31691.09,33000.0,31616.42,32482.28,15432.285186,1609606799999,500065150.69207716,243515,7704.189573,249664588.17049992
2021-01-02T17:00:00+00:00,BTCUSDT,1h,32484.28,32935.0,32394.77,32856.96,6402.180701,1609610399999,209101591.46210164,106138,3400.899047,111088781.87106785
2021-01-02T18:00:00+00:00,BTCUSDT,1h,32856.95,33300.0,32421.0,32999.98,7170.295412,1609613999999,235363454.12117517,107993,3731.002869,122570325.41192684
2021-01-02T19:00:00+00:00,BTCUSDT,1h,32999.98,33220.0,32690.0,33027.2,5844.856499,1609617599999,192991798.29034695,100521,3074.284824,101527404.04491779
2021-01-02T20:00:00+00:00,BTCUSDT,1h,33027.2,33061.37,30550.0,30667.22,15733.283112,1609621199999,504482345.0934044,213120,7147.189822,229365443.7221153
2021-01-02T21:00:00+00:00,BTCUSDT,1h,30669.43,32005.94,30300.0,31694.59,10395.120642,1609624799999,326513926.94158375,161944,5285.508184,165946681.21302372
2021-01-02T22:00:00+00:00,BTCUSDT,1h,31693.53,32311.92,31424.96,32145.66,3879.062094,1609628399999,124189288.57427153,91572,1766.477151,56575341.60307028
2021-01-02T23:00:00+00:00,BTCUSDT,1h,32143.53,32246.67,31500.0,32178.33,4622.340338,1609631999999,147557520.62016067,85383,2194.664881,70073494.65701959
2021-01-03T00:00:00+00:00,BTCUSDT,1h,32176.45,32497.8,31962.99,32447.94,3346.062141,1609635599999,108006253.42272902,63472,1758.752078,56783635.03682368
2021-01-03T01:00:00+00:00,BTCUSDT,1h,32447.95,32790.07,32201.0,32585.09,3401.152207,1609639199999,110773399.69333608,70692,1770.818589,57671008.07579552
2021-01-03T02:00:00+00:00,BTCUSDT,1h,32583.04,32884.09,32550.0,32741.67,2017.209759,1609642799999,66039545.22800387,48226,1010.498163,33089617.80521227
2021-01-03T03:00:00+00:00,BTCUSDT,1h,32741.68,32756.0,32404.0,32573.87,2125.8788,1609646399999,69347477.45908844,46215,899.919241,29356251.5346165
2021-01-03T04:00:00+00:00,BTCUSDT,1h,32576.11,33250.0,32450.0,33192.53,3436.070984,1609649999999,112792746.66880588,60917,2045.685227,67209328.65906662
2021-01-03T05:00:00+00:00,BTCUSDT,1h,33192.53,34180.0,33109.44,33758.67,10355.070315,1609653599999,350167811.0968304,176812,5513.671438,186390893.1940677
