event_type,release_date_et,release_ts_utc,metric,actual,consensus,surprise,z,consensus_source,actual_source,consensus_note
CPI,2025-10-24,2025-10-24T12:30:00Z,headline_cpi_mom_pct,0.2543,0.4,-0.1457,-0.735,investing.com/Wayback,bls.gov,
NFP,2025-11-20,2025-11-20T13:30:00Z,headline_nfp_change_k,-140.0,53.0,-193.0,-2.0289,investing.com/Wayback,bls.gov,
NFP,2025-12-16,2025-12-16T13:30:00Z,headline_nfp_change_k,41.0,51.0,-10.0,-0.1051,investing.com/Wayback,bls.gov,Nov NFP on delayed Dec-16 slot; Oct same-day had no forecast in archive
NFP,2026-01-09,2026-01-09T13:30:00Z,headline_nfp_change_k,-17.0,66.0,-83.0,-0.8726,investing.com/Wayback,bls.gov,
CPI,2026-01-13,2026-01-13T13:30:00Z,headline_cpi_mom_pct,-0.021,0.3,-0.321,-1.6193,investing.com/Wayback,bls.gov,
NFP,2026-02-11,2026-02-11T13:30:00Z,headline_nfp_change_k,160.0,66.0,94.0,0.9882,investing.com/Wayback,bls.gov,
CPI,2026-02-13,2026-02-13T13:30:00Z,headline_cpi_mom_pct,0.3697,0.3,0.0697,0.3516,investing.com/Wayback,bls.gov,
NFP,2026-03-06,2026-03-06T13:30:00Z,headline_nfp_change_k,-156.0,58.0,-214.0,-2.2497,investing.com/Wayback,bls.gov,
CPI,2026-03-11,2026-03-11T12:30:00Z,headline_cpi_mom_pct,0.4713,0.3,0.1713,0.8642,investing.com/Wayback,bls.gov,
NFP,2026-04-03,2026-04-03T12:30:00Z,headline_nfp_change_k,214.0,65.0,149.0,1.5664,investing.com/Wayback,bls.gov,
CPI,2026-04-10,2026-04-10T12:30:00Z,headline_cpi_mom_pct,1.049,1.0,0.049,0.2472,investing.com/Wayback,bls.gov,
NFP,2026-05-08,2026-05-08T12:30:00Z,headline_nfp_change_k,179.0,65.0,114.0,1.1984,investing.com/Wayback,bls.gov,
CPI,2026-05-12,2026-05-12T12:30:00Z,headline_cpi_mom_pct,0.8501,0.6,0.2501,1.2617,investing.com/Wayback,bls.gov,
